generator,direction,rank,copied_as,true_label,pred_score,original_path
BigGan,fake_confidently_called_real,1,fake_confidently_called_real_01.png,1,0.0,/home/student/Downloads/imagenet_ai_0419_biggan/val/ai/002_biggan_00020.png
BigGan,fake_confidently_called_real,2,fake_confidently_called_real_02.png,1,0.0,/home/student/Downloads/imagenet_ai_0419_biggan/val/ai/002_biggan_00035.png
BigGan,fake_confidently_called_real,3,fake_confidently_called_real_03.png,1,0.0,/home/student/Downloads/imagenet_ai_0419_biggan/val/ai/002_biggan_00039.png
BigGan,fake_confidently_called_real,4,fake_confidently_called_real_04.png,1,0.0,/home/student/Downloads/imagenet_ai_0419_biggan/val/ai/002_biggan_00074.png
BigGan,fake_confidently_called_real,5,fake_confidently_called_real_05.png,1,0.0,/home/student/Downloads/imagenet_ai_0419_biggan/val/ai/002_biggan_00143.png
BigGan,fake_confidently_called_real,6,fake_confidently_called_real_06.png,1,0.0,/home/student/Downloads/imagenet_ai_0419_biggan/val/ai/003_biggan_00020.png
BigGan,real_confidently_called_fake,1,real_confidently_called_fake_01.JPEG,0,1.0,/home/student/Downloads/imagenet_ai_0419_biggan/val/nature/ILSVRC2012_val_00039457.JPEG
BigGan,real_confidently_called_fake,2,real_confidently_called_fake_02.JPEG,0,0.9995,/home/student/Downloads/imagenet_ai_0419_biggan/val/nature/ILSVRC2012_val_00003514.JPEG
BigGan,real_confidently_called_fake,3,real_confidently_called_fake_03.JPEG,0,0.9994,/home/student/Downloads/imagenet_ai_0419_biggan/val/nature/ILSVRC2012_val_00023390.JPEG
BigGan,real_confidently_called_fake,4,real_confidently_called_fake_04.JPEG,0,0.9992,/home/student/Downloads/imagenet_ai_0419_biggan/val/nature/ILSVRC2012_val_00033825.JPEG
BigGan,real_confidently_called_fake,5,real_confidently_called_fake_05.JPEG,0,0.9987,/home/student/Downloads/imagenet_ai_0419_biggan/val/nature/ILSVRC2012_val_00040241.JPEG
BigGan,real_confidently_called_fake,6,real_confidently_called_fake_06.JPEG,0,0.9984,/home/student/Downloads/imagenet_ai_0419_biggan/val/nature/ILSVRC2012_val_00019637.JPEG
